DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CY,2012,4.67,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CY,2013,4.91,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CY,2014,5.37,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CY,2015,5.20,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CY,2016,4.88,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CY,2017,4.56,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CY,2018,4.29,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CY,2019,4.58,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CY,2020,4.31,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CY,2021,4.23,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CZ,2011,3.54,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CZ,2012,3.49,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CZ,2013,3.40,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CZ,2014,3.50,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CZ,2015,3.51,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CZ,2016,3.50,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CZ,2017,3.40,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CZ,2018,3.32,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CZ,2019,3.34,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CZ,2020,3.34,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,CZ,2021,3.43,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DE,2011,4.46,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DE,2012,4.30,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DE,2013,4.60,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DE,2014,5.12,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DE,2015,4.80,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DE,2016,4.62,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DE,2017,4.49,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,DE,2018,5.07,
