DATAFLOW,LAST UPDATE,freq,unit,spdeps,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,BG,2020,1340.13,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CH,2009,14416.94,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CH,2010,14741.76,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CH,2011,14847.77,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CH,2012,15330.21,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CH,2013,15953.60,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CH,2014,15981.73,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CH,2015,16441.37,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CH,2016,16617.21,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CH,2017,16629.53,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CH,2018,16369.08,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CH,2019,16828.54,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CH,2020,18463.18,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CY,2009,4524.85,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CY,2010,4368.05,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CY,2011,4545.47,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CY,2012,4475.62,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CY,2013,4596.81,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CY,2014,3995.87,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,CY,2015,4190.72,
